frame_idx,target_id,ts,daytime,lat,lon,x,y,w,h,clr,clr_score,cls,cls_score,lvl
28,4,1594070029.085084,00:13:49,32.86916424281323,35.2784355337309,0.5187400914728642,0.9238443970680237,0.02734375,0.018421052023768425,5,0.5389107465744019,2,0.9987069368362427,0
29,2,1594070029.0975351,00:13:49,32.86913540820865,35.278361413983035,0.5742036625742912,0.8882433772087097,0.02734375,0.021052632480859756,5,0.6965494155883789,2,0.9999746084213257,0
45,6,1594070030.2475505,00:13:50,32.86921942434351,35.27840459366824,0.5453623160719872,1.0539236664772034,0.013671875,0.018421052023768425,4,0.671747624874115,2,0.999863862991333,0
45,7,1594070030.2476308,00:13:50,32.868719725556346,35.2778247577857,0.9065823554992676,0.479230972006917,0.005859375,0.01315789483487606,4,0.4609861969947815,2,0.996816098690033,0
58,4,1594070031.679839,00:13:51,32.86924195056363,35.27841582614597,0.5405783578753471,1.155411958694458,0.013671875,0.018421052023768425,5,0.628905177116394,2,0.9998006224632263,0
72,2,1594070033.2850065,00:13:53,32.86912624331063,35.27835681968574,0.5958887338638306,1.112053394317627,0.013671875,0.018421052023768425,5,0.792864978313446,2,0.9999923706054688,0
75,12,1594070034.592689,00:13:54,32.869218975650384,35.27838470519383,0.5764729231595993,1.2104145288467407,0.013671875,0.018421052023768425,4,0.615825891494751,2,0.9975518584251404,0
88,6,1594070035.7554274,00:13:55,32.86932512670495,35.27840525759197,0.5667403936386108,1.3168677687644958,0.013671875,0.018421052023768425,4,0.671747624874115,2,0.999863862991333,0
88,7,1594070035.7555296,00:13:55,32.86873787644013,35.2777997539749,0.9486674964427948,0.7040769010782242,0.00390625,0.01315789483487606,4,0.4680033326148987,2,0.9994021654129028,0
103,4,1594070037.1882315,00:13:57,32.869486130757736,35.27841696506767,0.5573468990623951,1.3581013083457947,0.013671875,0.018421052023768425,5,0.628905177116394,2,0.9998006224632263,0
119,2,1594070038.570899,00:13:58,32.869044080025134,35.27836335625493,0.6102578043937683,1.2546916604042053,0.013671875,0.018421052023768425,5,0.792864978313446,2,0.9999923706054688,0
134,12,1594070040.183532,00:14:00,32.86896513769453,35.278414591579605,0.5792407467961311,1.2282223105430603,0.013671875,0.018421052023768425,4,0.615825891494751,2,0.9975518584251404,0
148,6,1594070041.370997,00:14:01,32.869144817368316,35.27843128036748,0.5670333579182625,1.3303296566009521,0.013671875,0.018421052023768425,4,0.671747624874115,2,0.999863862991333,0
148,7,1594070041.3710587,00:14:01,32.86846632420562,35.27781882261861,0.9508780539035797,0.7122220695018768,0.00390625,0.01315789483487606,4,0.43563103675842285,2,0.9988155364990234,0
164,31,1594070042.9341133,00:14:02,32.86778187200422,35.27764719002538,0.9460642635822296,0.22724291682243347,0.0078125,0.02631578966975212,5,0.895911455154419,2,0.9960170388221741,0
165,29,1594070044.3311946,00:14:04,32.8677605855587,35.27773790080593,0.9072605669498444,0.21995091438293457,0.0078125,0.02368421107530594,5,0.42635273933410645,2,0.9997394680976868,0
165,30,1594070044.331306,00:14:04,32.8675244544017,35.27789012645193,0.8143645524978638,0.08722791075706482,0.01171875,0.015789473429322243,2,0.47502440214157104,2,0.9909281134605408,0
225,31,1594070045.8130312,00:14:05,32.86771838112014,35.277678614160465,0.9509404897689819,0.20977109670639038,0.0078125,0.02631578966975212,5,0.8749919533729553,2,0.9984747767448425,0
238,29,1594070047.1082032,00:14:07,32.867725210846736,35.27777925694821,0.9157426953315735,0.2042997181415558,0.0078125,0.02368421107530594,4,0.34147077798843384,2,0.9992581009864807,0
238,30,1594070047.1082654,00:14:07,32.86748453460011,35.27793231997726,0.8245380818843842,0.07662606239318848,0.01171875,0.015789473429322243,4,0.4828677177429199,2,0.9974833130836487,0
255,31,1594070048.3751905,00:14:08,32.86773796787312,35.27765084218615,0.9718829095363617,0.2094542682170868,0.0078125,0.02631578966975212,5,0.8823130130767822,2,0.9898251891136169,0
268,30,1594070049.7075684,00:14:09,32.86751272155223,35.27790894211622,0.8381532728672028,0.0760507583618164,0.01171875,0.015789473429322243,4,0.482386976480484,2,0.9802921414375305,0
284,31,1594070051.8455122,00:14:11,32.86775935614441,35.277649100523625,0.9876299500465393,0.21328362822532654,0.013671875,0.018421052023768425,5,0.8939487934112549,2,0.9909413456916809,0
647,132,1594070087.480726,00:14:47,32.86915286772096,35.27837769382326,0.9264373183250427,0.8248923420906067,0.01171875,0.015789473429322243,6,0.8930234909057617,3,0.9989826083183289,2
647,134,1594070087.4807792,00:14:47,32.86912762156755,35.278357463546094,0.9408450424671173,0.8429130017757416,0.01953125,0.007894736714661121,7,0.8510931134223938,2,0.973073422908783,0
674,132,1594070090.3944683,00:14:50,32.86915715089178,35.278379131059914,0.9759906530380249,0.7442013174295425,0.01171875,0.015789473429322243,6,0.9579103589057922,3,0.9963185787200928,2
674,134,1594070090.3945196,00:14:50,32.86912377531905,35.2783478071471,0.9905044436454773,0.7607177197933197,0.013671875,0.018421052023768425,7,0.8510931134223938,2,0.973073422908783,0
703,132,1594070090.4283874,00:14:50,32.8691322980121,35.27839769151161,1.0213583111763,0.6656478345394135,0.013671875,0.018421052023768425,6,0.9552396535873413,2,0.9900036454200745,0
703,134,1594070090.4284475,00:14:50,32.86921020556276,35.27834367163709,1.0040018558502197,0.7423292696475983,0.013671875,0.018421052023768425,7,0.8510931134223938,2,0.973073422908783,0
687,137,1594070092.0309227,00:14:52,32.869282133836656,35.27845821795672,0.9053192138671875,0.7393033653497696,0.0078125,0.007894736714661121,2,0.6174854040145874,2,0.9976442456245422,0
